id;period;day;month;year;weekday
638;A NOITE;1;1;2018;monday
639;A NOITE;1;2;2010;monday
640;A NOITE;1;2;2016;monday
641;A NOITE;1;3;2010;monday
642;A NOITE;1;4;2013;monday
643;A NOITE;1;4;2019;monday
644;A NOITE;1;5;2017;monday
645;A NOITE;1;6;1981;monday
646;A NOITE;1;6;2015;monday
647;A NOITE;1;7;1991;monday
648;A NOITE;1;7;2013;monday
649;A NOITE;1;7;2019;monday
650;A NOITE;1;8;2011;monday
651;A NOITE;1;8;2016;monday
652;A NOITE;1;9;2014;monday
653;A NOITE;1;10;2001;monday
654;A NOITE;1;10;2012;monday
655;A NOITE;1;10;2018;monday
656;A NOITE;1;11;2010;monday
657;A NOITE;1;12;2014;monday
658;A NOITE;2;1;2012;monday
659;A NOITE;2;1;2017;monday
660;A NOITE;2;2;2015;monday
661;A NOITE;2;3;2015;monday
662;A NOITE;2;4;2012;monday
663;A NOITE;2;4;2018;monday
664;A NOITE;2;5;1988;monday
665;A NOITE;2;5;2005;monday
666;A NOITE;2;5;2011;monday
667;A NOITE;2;5;2016;monday
668;A NOITE;2;6;2014;monday
669;A NOITE;2;7;2012;monday
670;A NOITE;2;7;2018;monday
671;A NOITE;2;8;1982;monday
672;A NOITE;2;8;1993;monday
673;A NOITE;2;9;1991;monday
674;A NOITE;2;9;1996;monday
675;A NOITE;2;9;2013;monday
676;A NOITE;2;10;2017;monday
677;A NOITE;2;11;2009;monday
678;A NOITE;2;11;2015;monday
679;A NOITE;2;12;2013;monday
680;A NOITE;3;1;2011;monday
681;A NOITE;3;2;1997;monday
682;A NOITE;3;2;2014;monday
683;A NOITE;3;3;2014;monday
684;A NOITE;3;4;2017;monday
685;A NOITE;3;5;2010;monday
686;A NOITE;3;6;2013;monday
687;A NOITE;3;6;2019;monday
688;A NOITE;3;7;2017;monday
689;A NOITE;3;8;2015;monday
690;A NOITE;3;9;2001;monday
691;A NOITE;3;9;2012;monday
692;A NOITE;3;9;2018;monday
693;A NOITE;3;10;2011;monday
694;A NOITE;3;10;2016;monday
695;A NOITE;3;11;1980;monday
696;A NOITE;3;11;2014;monday
697;A NOITE;3;12;2001;monday
698;A NOITE;3;12;2012;monday
699;A NOITE;3;12;2018;monday
700;A NOITE;4;1;2010;monday
701;A NOITE;4;1;2016;monday
702;A NOITE;4;2;2013;monday
703;A NOITE;4;2;2019;monday
704;A NOITE;4;3;2002;monday
705;A NOITE;4;3;2013;monday
706;A NOITE;4;3;2019;monday
707;A NOITE;4;4;2011;monday
708;A NOITE;4;4;2016;monday
709;A NOITE;4;5;2015;monday
710;A NOITE;4;6;2001;monday
711;A NOITE;4;6;2012;monday
712;A NOITE;4;6;2018;monday
713;A NOITE;4;7;2011;monday
714;A NOITE;4;7;2016;monday
715;A NOITE;4;8;2014;monday
716;A NOITE;4;9;2017;monday
717;A NOITE;4;10;2004;monday
718;A NOITE;4;10;2010;monday
719;A NOITE;4;11;2013;monday
720;A NOITE;4;12;2017;monday
721;A NOITE;5;1;1981;monday
722;A NOITE;5;1;2015;monday
723;A NOITE;5;2;2018;monday
724;A NOITE;5;3;1962;monday
725;A NOITE;5;3;2001;monday
726;A NOITE;5;3;2012;monday
727;A NOITE;5;3;2018;monday
728;A NOITE;5;4;2010;monday
729;A NOITE;5;5;1958;monday
730;A NOITE;5;5;2014;monday
731;A NOITE;5;6;2000;monday
732;A NOITE;5;6;2017;monday
733;A NOITE;5;7;2010;monday
734;A NOITE;5;8;1996;monday
735;A NOITE;5;8;2013;monday
736;A NOITE;5;9;2005;monday
737;A NOITE;5;9;2011;monday
738;A NOITE;5;9;2016;monday
739;A NOITE;5;10;2015;monday
740;A NOITE;5;11;1979;monday
741;A NOITE;5;11;2012;monday
742;A NOITE;5;11;2018;monday
743;A NOITE;5;12;2011;monday
744;A NOITE;5;12;2016;monday
745;A NOITE;6;1;2014;monday
746;A NOITE;6;2;1978;monday
747;A NOITE;6;2;1995;monday
748;A NOITE;6;2;2012;monday
749;A NOITE;6;2;2017;monday
750;A NOITE;6;3;2006;monday
751;A NOITE;6;3;2017;monday
752;A NOITE;6;4;2015;monday
753;A NOITE;6;5;2013;monday
754;A NOITE;6;5;2019;monday
755;A NOITE;6;6;2011;monday
756;A NOITE;6;6;2016;monday
757;A NOITE;6;7;2015;monday
758;A NOITE;6;8;2012;monday
759;A NOITE;6;8;2018;monday
760;A NOITE;6;9;2010;monday
761;A NOITE;6;10;2014;monday
762;A NOITE;6;11;1911;monday
763;A NOITE;6;11;2017;monday
764;A NOITE;6;12;2010;monday
765;A NOITE;7;1;2013;monday
766;A NOITE;7;1;2019;monday
767;A NOITE;7;2;2011;monday
768;A NOITE;7;3;2011;monday
769;A NOITE;7;3;2016;monday
770;A NOITE;7;4;2003;monday
771;A NOITE;7;4;2014;monday
772;A NOITE;7;5;2012;monday
773;A NOITE;7;5;2018;monday
